x,y,pre_vv_db,post_vv_db,change_db,dem_m,slope_proxy,permanent_water,population,road,critical_facility,flood_truth,pred_flood,flood_confidence,risk_score,response_priority,ensemble_flood_probability,uncertainty
0,0,-7.8946,-7.5015,0.3931,5.1828,0.6689,0,40.36,0,0,0,0,0.2037,0.0,Low,0.0,0.0
11,0,-7.0959,-7.6695,-0.5736,9.0262,0.2415,0,58.0,0,0,0,0,0.2972,0.0,Low,0.0,0.0
23,0,-9.3069,-13.8966,-4.5897,7.9064,0.8513,0,54.12,0,0,1,1,0.4221,33.4005,Moderate,1.0,0.0
24,0,-9.2102,-16.8432,-7.6330,7.4637,0.9023,0,52.98,0,0,1,1,0.8026,54.1143,High,1.0,0.0
28,0,-7.6785,-13.7447,-6.0663,6.6157,0.4152,0,58.77,0,0,1,1,0.7574,52.7194,High,1.0,0.0
29,0,-13.5971,-14.0305,-0.4334,6.2455,0.1343,1,50.51,0,0,0,0,0.3206,0.0,Low,0.0,0.0
33,0,-9.5750,-15.1780,-5.6030,3.9156,0.1841,0,44.71,0,0,1,1,0.7327,48.7129,Moderate,1.0,0.0
34,0,-7.3811,-10.6331,-3.2520,4.3826,0.2512,0,44.86,0,0,1,1,0.3360,26.9225,Moderate,0.5,1.0
40,10,-9.4350,-16.5581,-7.1231,5.3481,0.1045,0,55.77,0,0,1,1,0.9771,64.2377,High,1.0,0.0
34,20,-7.6451,-14.5885,-6.9434,10.0665,0.0937,0,54.16,1,0,1,1,0.9703,74.8091,High,1.0,0.0
