x,y,pre_vv_db,post_vv_db,change_db,flood_truth,flood_pred
53,99,-9.781947102654875,-15.314042179353414,-5.532095076698537,1,1
50,38,-9.68733210919302,-15.837469933125256,-6.150137823932237,1,1
62,49,-10.688463487709129,-10.688463487709129,0.0,0,0
86,38,-9.908627650906894,-9.908627650906894,0.0,0,0
37,54,-8.868948394625662,-15.196369508944786,-6.327421114319124,1,1
17,85,-11.885026620091182,-11.885026620091182,0.0,0,0
41,20,-7.295522199684438,-7.295522199684438,0.0,0,0
89,19,-9.429636993266955,-9.429636993266955,0.0,0,0
33,19,-10.726649123998476,-10.726649123998476,0.0,0,0
84,99,-9.848093955060389,-9.848093955060389,0.0,0,0
